City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,lazaro cardenas,17.9583,-102.2,26.97,67,4,3.1,MX,1707264192
298,novoazovs'k,47.1139,38.086,5.97,93,100,6.39,UA,1707264192
299,uliastay,47.7417,96.8444,-22.45,66,56,2.96,MN,1707264192
300,baie-saint-paul,47.4411,-70.4986,-5.13,83,86,1.14,CA,1707264192
301,antofagasta,-23.65,-70.4,25.6,78,3,1.41,CL,1707264041
302,puerto quijarro,-17.7833,-57.7667,24.37,90,83,1.32,BO,1707264193
303,vila franca do campo,37.7167,-25.4333,18.23,85,100,7.02,PT,1707264193
304,maddela,16.3414,121.6849,22.9,75,13,0.69,PH,1707264193
305,bemidji,47.4736,-94.8803,1.06,94,100,0.0,US,1707264193
306,luderitz,-26.6481,15.1594,18.94,82,68,5.6,NA,1707264193
307,vila do maio,15.1333,-23.2167,23.44,66,0,5.47,CV,1707264193
308,hirara,24.8,125.2833,18.92,88,75,4.12,JP,1707264194
309,atafu village,-8.5421,-172.5159,28.68,80,99,11.59,TK,1707264194
310,vorkuta,67.5,64.0,-26.53,100,91,1.72,RU,1707264194
311,melekeok village,7.4957,134.6367,27.57,79,99,8.27,PW,1707264194
312,bhatapara,21.7333,81.9333,17.48,77,0,2.69,IN,1707264194
313,ariquemes,-9.9133,-63.0408,26.84,78,91,1.03,BR,1707264194
314,princeville,45.7668,-61.2985,-0.05,90,0,3.09,CA,1707264195
315,helong,42.5397,128.9972,-10.47,69,6,1.75,CN,1707264195
316,barka kana,23.6167,85.4833,16.91,77,25,2.98,IN,1707264195
317,sete lagoas,-19.4658,-44.2467,22.6,87,97,1.37,BR,1707264034
318,sakakah,29.9697,40.2064,8.76,58,5,2.6,SA,1707264195
319,kodiak,57.79,-152.4072,2.46,78,86,5.25,US,1707264196
320,zaozersk,69.4005,32.4476,-16.9,94,97,3.5,RU,1707264196
321,vargashi,55.3556,65.8467,-1.61,92,100,8.15,RU,1707264196
322,hadibu,12.65,54.0333,24.27,73,18,3.67,YE,1707264196
323,taroa,8.7058,171.2275,27.44,75,99,7.45,MH,1707264197
324,puerto deseado,-47.7503,-65.8938,20.86,40,87,10.37,AR,1707264118
325,paita,-5.0892,-81.1144,25.95,77,44,6.56,PE,1707264197
326,revda,56.801,59.9303,-3.3,95,100,4.99,RU,1707264197
327,arkhangel'sk,64.5401,40.5433,-24.93,75,20,0.0,RU,1707264135
328,flint,43.0125,-83.6875,4.46,73,0,2.06,US,1707264157
329,crane,31.3974,-102.3501,16.18,40,97,8.35,US,1707264198
330,auki,-8.7676,160.7034,27.59,86,98,5.07,SB,1707264198
331,inverloch,-38.6333,145.7167,20.59,61,8,1.77,AU,1707264198
332,biltine,14.5333,20.9167,18.82,21,68,7.46,TD,1707264198
333,batouri,4.4333,14.3667,22.94,32,100,1.02,CM,1707264199
334,ust-nera,64.5667,143.2,-33.85,92,91,0.28,RU,1707264199
335,kaitong,44.8135,123.15,-16.44,87,7,1.71,CN,1707264199
336,tsiombe,-25.3,45.4833,22.24,92,56,2.17,MG,1707264199
337,hamilton,39.1834,-84.5333,7.47,63,20,2.06,US,1707263678
338,fort st. john,56.2499,-120.8529,-7.06,79,75,3.09,CA,1707264008
339,caleta de carquin,-11.0925,-77.6267,25.3,77,20,4.23,PE,1707264200
340,tamarin,-20.3256,57.3706,26.4,93,51,3.96,MU,1707264200
341,quibala,-10.7337,14.98,17.66,99,100,0.21,AO,1707264200
342,ceelbuur,4.685,46.6176,25.59,74,98,5.55,SO,1707264201
343,amungan,15.3652,119.9582,26.17,63,3,1.94,PH,1707264201
344,canico,32.6333,-16.85,18.35,60,20,3.6,PT,1707264201
